market,rows_2h,period,type,status
5i_spreads,90,i5,sp,mapped
2p_sp,87,p2,sp,mapped
3p_ml,87,p3,ml,mapped
race_to_five_runs,86,fg,race_to_5,mapped
1p_sp,86,p1,sp,mapped
1q_points_yn_away,85,1q,score_yn_away,mapped
3i_points_yn,83,i3,score_yn,mapped
firstinning_sp,81,i1,sp,mapped
3i_totals,81,i3,tot,mapped
p1_ml,81,p1,ml,mapped
3p_sp,81,p3,sp,mapped
live_ml,78,live,ml,mapped
4i_spreads,78,i4,sp,mapped
6i_points_eo,78,i6,odd_even,mapped
9i_spreads,78,i9,sp,mapped
live_sp,76,live,sp,mapped
1q_points_yn_home,72,1q,score_yn_home,mapped
6i_spreads,72,i6,sp,mapped
2i_points_yn,71,i2,score_yn,mapped
2i_totals,71,i2,tot,mapped
8i_spreads,70,i8,sp,mapped
7i_spreads,69,i7,sp,mapped
8i_points_eo,68,i8,odd_even,mapped
p3_tot,65,p3,tot,mapped
p3_tt_away,65,p3,tt_away,mapped
1i_points_eo,64,i1,odd_even,mapped
7i_points_eo,63,i7,odd_even,mapped
3i_points_eo,62,i3,odd_even,mapped
p3_tt_home,62,p3,tt_home,mapped
live_tot,60,live,tot,mapped
3q_tt_away,54,3q,tt_away,mapped
live_tt_away,54,live,tt_away,mapped
5i_points_eo,54,i5,odd_even,mapped
4i_points_eo,53,i4,odd_even,mapped
1p_tot,52,p1,tot,mapped
2p_tot,52,p2,tot,mapped
4p_sp,52,p4,sp,mapped
1i_batting_hits_yn,51,i1,hit_yn,mapped
3q_tt_home,50,3q,tt_home,mapped
1ix3_points_yn,49,f3,score_yn,mapped
1ix3_points_yn_away,48,f3,score_yn_away,mapped
2i_points_eo,48,i2,odd_even,mapped
2i_spreads,47,i2,sp,mapped
team_field_goals_ou,47,fg,team_fg_ou,mapped
4p_ml,43,p4,ml,mapped
2q_tt_home,42,2q,tt_home,mapped
4i_team_points_ou,40,i4,tt,mapped
3i_spreads,39,i3,sp,mapped
1i_h2h,34,i1,ml,mapped
3q_touchdowns_ou,33,3q,tds_ou,mapped
1h_firsttoscore_yn_away,32,1h,first_to_score_away,mapped
1h_firsttoscore_yn_home,32,1h,first_to_score_home,mapped
1s_totals,30,s1,tot,mapped
