source,label,rows_today,key,rule,status
underdog,RBIs,254,rbis,app-alias,mapped
underdog,1Q Rec Yards,252,1q-receiving-yards,period+manual,mapped
steezanomics,Rushing Yards,250,rushing-yards,app-alias,mapped
underdog,Runs,250,runs,app-alias,mapped
sleeper,hits,248,pitcher-hits-allowed|hits,position,position
comparenbet,player_batting_firstHomeRun,247,first-home-run,manual,mapped
steezanomics,H+R+RBI,246,hits-runs-rbis,manual,mapped
kalshi,passing_yards,245,passing-yards,app-alias,mapped
betmgm,Base,242,total-bases,manual,mapped
fanduel,doubles,242,doubles,app-alias,mapped
fanduel,singles,242,singles,manual,mapped
sleeper,kills_maps_1_2,240,,no-app-sport,no-app-sport
sleeper,singles,239,singles,manual,mapped
pinnacle,Total Bases,238,total-bases,manual,mapped
sleeper,runs,238,runs,app-alias,mapped
steezanomics,Hits,235,pitcher-hits-allowed|hits,position,position
betmgm,Hits,234,pitcher-hits-allowed|hits,position,position
underdog,Batter Walks,234,walks,app-alias,mapped
underdog,1Q Rush + Rec TDs,232,1q-rush-rec-tds,period+app-alias,mapped
comparenbet,player_batting_runs+rbi,231,runs-rbis,manual,mapped
sleeper,rbis,231,rbis,app-alias,mapped
steezanomics,RBIs,230,rbis,app-alias,mapped
underdog,1H Pass Yards,230,1h-passing-yards,period+app-alias,mapped
sleeper,bat_walks,228,walks,manual,mapped
betmgm,Player doubles,227,doubles,manual,mapped
betmgm,Player singles,227,singles,manual,mapped
betmgm,Player triples,227,triples,manual,mapped
betmgm,RBI,227,rbis,manual,mapped
betmgm,Runs,226,runs,app-alias,mapped
steezanomics,Home Runs,226,home-runs,app-alias,mapped
steezanomics,Singles,226,singles,manual,mapped
draftkings,Walks (Batter),225,walks,manual,mapped
steezanomics,Runs,225,runs,app-alias,mapped
betrivers,RBI,224,rbis,manual,mapped
steezanomics,Doubles,224,doubles,app-alias,mapped
betrivers,Doubles,223,doubles,app-alias,mapped
betmgm,PassingYards,220,passing-yards,manual,mapped
betmgm,Reception Yards,219,receiving-yards,manual,mapped
sleeper,headshots_maps_1_2,219,,no-app-sport,no-app-sport
steezanomics,Walks,217,pitcher-walks-allowed|walks,position,position
fanduel,Rushing Yds,216,rushing-yards,manual,mapped
pinnacle,Total Receiving Yards,214,receiving-yards,manual,mapped
sleeper,passing_yards,211,passing-yards,app-alias,mapped
